Name,Party,Ethnicity,Gender,Parliament_1,Parliament_2,Parliament_3,Parliament_4,Parliament_5,Parliament_6,Parliament_7,Parliament_8,Parliament_9,Parliament_10,Parliament_11,Parliament_12,Parliament_13,Parliament_14
Yeo Guat Kwang,People's Action Party,Chinese,Male,,,,,,,,,MP,MP,MP,MP,,
Zainul Abidin Rasheed,People's Action Party,Malay,Male,,,,,,,,,MP,MP,MP,,,
Zulkifli Bin Baharudin,NMP,Malay,Male,,,,,,,,,NMP,,,,,
Ahmad Khalis bin Abdul Gahni,People's Action Party,Malay,Male,,,,,,,,,,MP,,,,
"Chan Meng Wah, Alexander",NMP,Chinese,Male,,,,,,,,,,NMP,,,,
"Chia Kiah Hong, Steve",Singapore Democratic Alliance,Chinese,Male,,,,,,,,,,NCMP,,,,
"Chong Weng Chiew, Dr",People's Action Party,Chinese,Male,,,,,,,,,,MP,,,,
Eunice Elizabeth Olsen,NMP,Eurasian,Female,,,,,,,,,,NMP,NMP,,,
Fang Ai Lian,NMP,Chinese,Female,,,,,,,,,,NMP,,,,
Arthur Fong,People's Action Party,Chinese,Male,,,,,,,,,,MP,MP,MP,,
Cedric Foo Chee Keng,People's Action Party,Chinese,Male,,,,,,,,,,MP,MP,MP,MP,
Gan Kim Yong,People's Action Party,Chinese,Male,,,,,,,,,,MP,MP,MP,MP,MP
"Gan Lai Chiang, Andy",People's Action Party,Chinese,Male,,,,,,,,,,MP,,,,
"Gan See Khem, Dr",NMP,Chinese,Female,,,,,,,,,,NMP,,,,
"Geh Min, Dr",NMP,Chinese,Female,,,,,,,,,,NMP,,,,
Halimah Yacob,People's Action Party,Malay,Female,,,,,,,,,,MP,MP,MP,MP,
Heng Chee How,People's Action Party,Chinese,Male,,,,,,,,,,MP,MP,MP,MP,MP
Ho Geok Choo,People's Action Party,Chinese,Female,,,,,,,,,,MP,MP,,,
Indranee Rajah,People's Action Party,Indian,Female,,,,,,,,,,MP,MP,MP,MP,MP
Khaw Boon Wan,People's Action Party,Chinese,Male,,,,,,,,,,MP,MP,MP,MP,
Amy Khor Lean Suan,People's Action Party,Chinese,Female,,,,,,,,,,MP,MP,MP,MP,MP
"Lee, Warren, Dr",People's Action Party,Chinese,Male,,,,,,,,,,MP,,,,
"Leow Chin Hin, Lawrence",NMP,Chinese,Male,,,,,,,,,,NMP,,,,
Raymond Lim Siang Keat,People's Action Party,Chinese,Male,,,,,,,,,,MP,MP,MP,,
"Loo Choon Yong, Dr",NMP,Chinese,Male,,,,,,,,,,NMP,NMP,,,
Penny Low,People's Action Party,Chinese,Female,,,,,,,,,,MP,MP,MP,,
"Lum Ooi Lin, Olivia",NMP,Chinese,Female,,,,,,,,,,NMP,,,,
Mohamad Maliki Bin Osman,People's Action Party,Malay,Male,,,,,,,,,,,,MP,MP,MP
A Nithiah Nandan,NMP,Indian,Male,,,,,,,,,,NMP,,,,
Ng Eng Hen,People's Action Party,Chinese,Male,,,,,,,,,,MP,MP,MP,MP,MP
Irene Ng Phek Hoong,People's Action Party,Chinese,Female,,,,,,,,,,MP,MP,MP,,
Ng Ser Miang,NMP,Chinese,Male,,,,,,,,,,NMP,,,,
Ngiam Tee Liang,NMP,Chinese,Male,,,,,,,,,,NMP,,,,
Ong Seh Hong,People's Action Party,Chinese,Male,,,,,,,,,,MP,MP,,,
"Ong Soh Khim, Assoc Prof",NMP,Chinese,Female,,,,,,,,,,NMP,,,,
Cynthia Phua,People's Action Party,Chinese,Female,,,,,,,,,,MP,MP,,,
"Png Paak Liang, Ivan, Prof",NMP,Chinese,Male,,,,,,,,,,NMP,,,,
Balaji Sadasivan,People's Action Party,Indian,Male,,,,,,,,,,MP,MP,,,
"Tan Sze Wee, Dr",NMP,Chinese,Male,,,,,,,,,,NMP,,,,
Teo Yock Ngee,NMP,Chinese,Male,,,,,,,,,,NMP,,,,
Tharman Shanmugaratnam,People's Action Party,Indian,Male,,,,,,,,,,MP,MP,MP,MP,MP
Vivian Balakrishnan,People's Action Party,Indian,Male,,,,,,,,,,MP,MP,MP,MP,MP
Wee Siew Kim,People's Action Party,Chinese,Male,,,,,,,,,,MP,MP,,,
Zainudin Nordin,People's Action Party,Malay,Male,,,,,,,,,,MP,MP,MP,,
Baey Yam Keng,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,MP,MP
Cham Hui Fong,NMP,Chinese,Female,,,,,,,,,,,NMP,,,
Calvin Cheng,NMP,Chinese,Male,,,,,,,,,,,NMP,,,
Christopher de Souza,People's Action Party,Eurasian,Male,,,,,,,,,,,MP,MP,MP,MP
