Name,Party,Ethnicity,Gender,Type,Parliament
"Hu Tsu Tau, Richard",People's Action Party,Chinese,Male,MP,6
Ibrahim Othman,People's Action Party,Chinese,Male,MP,6
Koh Lam Son,People's Action Party,Chinese,Male,MP,6
Lee Boon Yang,People's Action Party,Chinese,Male,MP,6
Lee Hsien Loong,People's Action Party,Chinese,Male,MP,6
Leong Horn Kee,People's Action Party,Chinese,Male,MP,6
Tan Dixie,People's Action Party,Chinese,Female,MP,6
"Tan Tee Yong, Philip",People's Action Party,Chinese,Male,MP,6
Tang Guan Seng,People's Action Party,Chinese,Male,MP,6
"Vasoo, S",People's Action Party,Indian,Male,MP,6
Wang Kai Yuen,People's Action Party,Chinese,Male,MP,6
Wong Aline K,People's Action Party,Chinese,Female,MP,6
Wong Kan Seng,People's Action Party,Chinese,Male,MP,6
Yatiman Yusof,People's Action Party,Malay,Male,MP,6
Yeo Cheow Tong,People's Action Party,Chinese,Male,MP,6
Yu-Foo Yee Shoon,People's Action Party,Chinese,Female,MP,6
Zulkifli Bin Mohamed,People's Action Party,Malay,Male,MP,6
Ho Kah Leong,People's Action Party,Chinese,Male,MP,7
Lee Kuan Yew,People's Action Party,Chinese,Male,MP,7
Ng Kah Ting,People's Action Party,Chinese,Male,MP,7
Ch'ng Jit Koon,People's Action Party,Chinese,Male,MP,7
Chua Sian Chin,People's Action Party,Chinese,Male,MP,7
Sia Khoon Seong,People's Action Party,Chinese,Male,MP,7
Tan H.H. Augustine,People's Action Party,Chinese,Male,MP,7
Yeo Toon Chia,People's Action Party,Chinese,Male,MP,7
Ahmad Mattar,People's Action Party,Malay,Male,MP,7
Chin Harn Tong,People's Action Party,Chinese,Male,MP,7
Lee Yiok Seng,People's Action Party,Chinese,Male,MP,7
Ong Teng Cheong,People's Action Party,Chinese,Male,MP,7
"Chen Tien Lap, Bernard",People's Action Party,Chinese,Male,MP,7
Goh Chok Tong,People's Action Party,Chinese,Male,MP,7
Koh Lip Lin,People's Action Party,Chinese,Male,MP,7
Lau Teik Soon,People's Action Party,Chinese,Male,MP,7
Lim Chee Onn,People's Action Party,Chinese,Male,MP,7
Ow Chin Hock,People's Action Party,Chinese,Male,MP,7
S. Dhanabalan,People's Action Party,Indian,Male,MP,7
Sidek Bin Saniff,People's Action Party,Malay,Male,MP,7
"Tan Keng Yam, Tony",People's Action Party,Chinese,Male,MP,7
Tan Soo Khoon,People's Action Party,Chinese,Male,MP,7
Teo Chong Tee,People's Action Party,Chinese,Male,MP,7
"Yap Giau Cheng, Eugene",People's Action Party,Chinese,Male,MP,7
Abbas Abu Amin,People's Action Party,Malay,Male,MP,7
Goh Chee Wee,People's Action Party,Chinese,Male,MP,7
S Jayakumar,People's Action Party,Indian,Male,MP,7
