year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
1959,Upper Serangoon,na,Tan Choon Teng,CP,209,0.021
1963,Aljunied,na,Lim Koon Teck,SA,1681,0.1105
1963,Aljunied,na,S. V. Lingam,PAP,7745,0.509
1963,Aljunied,na,Thio Kheng Lock,BS,4624,0.3039
1963,Aljunied,na,Woo Kong Seng,UPP,1165,0.0766
1963,Anson,na,Chan Chong Keen,BS,3123,0.3702
1963,Anson,na,Chiang Seok Keong,WP,91,0.0108
1963,Anson,na,A. K. Isaac,SA,543,0.0644
1963,Anson,na,David Marshall,Independent,416,0.0493
1963,Anson,na,P. Govindasamy,PAP,3957,0.469
1963,Anson,na,Vythalingam V.,UPP,306,0.0363
1963,Bras Basah,na,Chua Chin Kiat,WP,114,0.012
1963,Bras Basah,na,Ho See Beng,PAP,4926,0.518
1963,Bras Basah,na,Leong Kwan Fai,BS,3831,0.4028
1963,Bras Basah,na,Pan Cheng Luan,UPP,335,0.0352
1963,Bras Basah,na,Wong Chin Sen,SA,304,0.032
1963,Bukit Merah,na,Lim Huan Boon,BS,4963,0.4284
1963,Bukit Merah,na,Ngon Eng Kok,Independent,232,0.02
1963,Bukit Merah,na,Poon Weng Ying,UPP,1129,0.0975
1963,Bukit Merah,na,Sellappa Ramaswamy,PAP,4520,0.3902
1963,Bukit Merah,na,Shums Tung Tao Chang,SA,740,0.0639
1963,Bukit Panjang,na,Lee Khoon Choy,PAP,4940,0.4041
1963,Bukit Panjang,na,Loo Bah Chit,SA,999,0.0817
1963,Bukit Panjang,na,Ong Lian Teng,BS,5679,0.4645
1963,Bukit Panjang,na,Thuan Paik Phok,UPP,607,0.0497
1963,Bukit Timah,na,Chor Yeok Eng,PAP,4982,0.4228
1963,Bukit Timah,na,Lee Tee Tong,BS,6173,0.5239
1963,Bukit Timah,na,Ong Tiong Kuan,UPP,628,0.0533
1963,Cairnhill,na,Lee Ah Seong,SA,1467,0.1259
1963,Cairnhill,na,Lim Ang Chuan,BS,2443,0.2095
1963,Cairnhill,na,Lim Kim San,PAP,7749,0.6646
1963,Changi,na,Abdullah Masood,UPP,935,0.0832
1963,Changi,na,Dato Syed Esa,SA,1975,0.1757
1963,Changi,na,M. N. Yahya,Independent,95,0.0085
1963,Changi,na,Siek Shing Min,BS,3425,0.3048
1963,Changi,na,Sim Boon Woo,PAP,4808,0.4278
1963,Choa Chu Kang,na,Chio Cheng Thun,BS,3753,0.4859
1963,Choa Chu Kang,na,Goh Tong Liang,Independent,345,0.0447
1963,Choa Chu Kang,na,Lim Kim Hian,PAP,2429,0.3145
1963,Choa Chu Kang,na,Neo Guan Choo,SA,396,0.0513
1963,Choa Chu Kang,na,Sim Chit Giak,UPP,800,0.1036
1963,Crawford,na,K. M. Byrne,PAP,4207,0.4088
1963,Crawford,na,S. A. Hsieh,SA,571,0.0555
1963,Crawford,na,Lau Tok Keong,UPP,1032,0.1003
1963,Crawford,na,T. Bani,BS,4400,0.4275
1963,Crawford,na,Wong Hong Toy,WP,81,0.0079
1963,Delta,na,Chan Choy Siong,PAP,5417,0.4053
